segundo,wl04,wl05,wl06
830,13.139,22.36,19.18
831,13.218,22.432,18.707
832,13.113,22.418,19.422
833,13.225,22.602,19.044
834,13.08,22.47,19.265
835,13.131,22.14,19.453
836,13.207,22.467,19.34
837,13.117,22.44,19.094
838,13.131,22.487,19.019
839,13.121,22.363,19.093
840,13.18,22.291,19.055
841,13.098,22.451,18.923
842,13.209,22.506,19.2
843,13.089,22.42,18.48
844,13.097,22.476,18.658
845,13.149,22.48,18.869
846,13.104,22.378,19.535
847,13.157,22.478,19.029
848,13.107,22.428,19.205
849,13.196,22.342,19.195
850,13.061,22.357,19.25
851,13.101,22.349,19.343
852,13.136,22.226,19.221
853,13.237,22.194,19.05
854,13.198,22.423,19.301
855,13.238,22.365,19.124
856,13.177,22.22,19.473
857,13.229,22.351,19.61
858,13.234,22.328,19.585
859,13.277,22.429,19.524
860,13.207,22.583,19.182
861,13.17,22.24,19.361
862,13.136,22.122,19.173
863,13.193,22.179,19.229
864,13.255,22.219,19.37
865,13.229,22.411,19.728
